,Statistic,No.,Name,Pos.,Ht.,Wt.,Elig.,Hometown / High School,Image,Title
38,,27.0,Jack Oyola,DB,5-11,190.0,Fy.,"Alpharetta, Georgia / Alpharetta",,
39,,28.0,Braden Turner,DB,5-10,185.0,Fy.,"Mobile, Alabama / McGill-Toolen Catholic",,
40,,29.0,Marcus Cisco,RB,5-9,197.0,Jr.,"Byron Center, Michigan / Byron Center",,
41,,31.0,Jake Arthurs,RB,5-9,195.0,Jr.,"Wheaton, Illinois / Wheaton-Warrenville South",,
42,,31.0,Robert Fitzgerald,DB,6-0,200.0,Fy.,"Dallas, Texas / Jesuit College Prep",,
43,,32.0,Bryce Gallagher,LB,6-2,240.0,Jr.,"Raynham, Massachusetts / St. Sebastian's",,
44,,33.0,Braydon Brus,LB,6-1,215.0,Fy.,"Glendora, California / Glendora",,
45,,34.0,Xander Mueller,LB,6-3,235.0,Jr.,"Wheaton, Illinois / Wheaton North",,
46,,35.0,Kenny Soares Jr.,LB,6-2,220.0,Fy.,"Trumbull, Connecticut / Avon Old Farms",,
47,,36.0,Declan Carr,LB,6-1,226.0,Gr.,"Frankfort, Illinois / Lincoln-Way East",,
48,,37.0,Mac Uihlein,LB,6-1,215.0,So.,"Lake Forest, Illinois / Lake Forest",,
49,,38.0,Joe DeHaan,DB,6-0,198.0,Jr.,"Tinley Park, Illinois / Andrew",,
50,,39.0,Albert Kunickis III,RB,6-3,220.0,Fy.,"Lemont, Illinois / Lemont",,
51,,40.0,Jason Reynolds II,LB,6-2,215.0,Fy.,"McDonough, Georgia / Eagles Landing Christian Academy",,
52,,41.0,Jaylen Pate,DL,6-3,255.0,Gr.,"Chicago, Illinois / Lane Tech College Prep",,
53,,42.0,Anto Saka,DL,6-4,230.0,Fy.,"Phoenix, Maryland / Loyola Blakefield",,
54,,43.0,Will Halkyard,LS,6-3,200.0,Jr.,"Glen Ellyn, Illinois / Glenbard West",,
55,,44.0,Khalid Jones,LB,6-1,230.0,Sr.,"Greenville, South Carolina / Byrnes",,
56,,45.0,Cullen Coleman,LB,6-3,240.0,Jr.,"Port Chester, New York / Rye Country Day",,
57,,46.0,Devin O'Rourke,DL,6-6,265.0,Sr.,"Mokena, Illinois / Lincoln Way East",,
58,,47.0,Luke Akers,P,6-1,180.0,Jr.,"Nashville, Tennessee / Ravenwood",,
59,,48.0,Owen Bergin,LB,5-10,210.0,Jr.,"Bloomfield Hills, Michigan / Detroit Country Day",,
60,,49.0,Jacob Tabibian,K,5-9,185.0,So.,"Lafayette, California / Campolindo",,
61,,50.0,P.J. Spencer,DL,6-2,275.0,Jr.,"Prairie Village, Kansas / Shawnee Mission East",,
62,,51.0,Miles Crutchley,LB,6-0,220.0,Fy.,"Scottsdale, Arizona / Saguaro",,
63,,52.0,Jordan Butler,DL,6-2,316.0,Jr.,"North Las Vegas, Nevada / IMG Academy (Fla.)",,
64,,53.0,Jaiden Cameron,DL,6-3,245.0,Jr.,"Clayton, Ohio / Northmont",,
65,,54.0,Henrik Barndt,DL,6-5,285.0,R-Sr.,"Arvada, Colorado / Ralston Valley",,
66,,55.0,Conrad Rowley,OL,6-4,308.0,Sr.,"Independence, Missouri / Blue Springs",,
67,,56.0,Josh Thompson,OL,6-5,310.0,So.,"Fenton, Michigan / Fenton",,
68,,57.0,Greyson Metz,LB,6-3,216.0,Jr.,"Glen Ellyn, Illinois / Glenbard West",,
69,,58.0,Peyton Warford,DL,6-3,220.0,Fy.,"Woodside, California / Saint Francis",,
70,,60.0,Carmine Bastone,DL,6-2,266.0,So.,"St. Charles, Illinois / St. Charles North",,
71,,62.0,Max Skidmore,OL,6-7,270.0,Jr.,"Spokane Valley, Washington / University",,
72,,63.0,Dom D'Antonio,OL,6-4,290.0,Jr.,"Woodstock, Georgia / Etowah",,
73,,65.0,Jackson Carsello,OL,6-4,270.0,So.,"Northbrook, Illinois / Glenbrook North",,
74,,66.0,Braeden Edwards,OL,6-6,280.0,So.,"West Des Moines, Iowa / Valley",,
75,,68.0,Josh Priebe,OL,6-5,308.0,Jr.,"Niles, Michigan / Edwardsburg",,
76,,69.0,Charlie Schmidt,OL,6-4,308.0,Sr.,"Libertyville, Illinois / Libertyville",,
77,,71.0,Ben Wrather,OL,6-6,310.0,Jr.,"Powell, Ohio / Olentangy Liberty",,
78,,72.0,Caleb Tiernan,OL,6-7,315.0,So.,"Livonia, Michigan / Detroit Country Day",,
79,,73.0,Deuce McGuire,OL,6-5,300.0,Fy.,"Chicago, Illinois / Marist",,
80,,74.0,Nick Herzog,OL,6-4,270.0,Fy.,"Stilwell, Kansas / Blue Valley",,
81,,75.0,Vincent Picozzi,OL,6-4,310.0,Gr.,"Collegeville, Pennsylvania / Lansdale Catholic",,
82,,76.0,Ethan Wiederkehr,OL,6-5,295.0,Gr.,"Wading River, New York / Shoreham-Wading River",,
83,,77.0,Peter Skoronski,OL,6-4,315.0,Jr.,"Park Ridge, Illinois / Maine South",,
84,,78.0,Luka Trifunovic,OL,6-4,293.0,Jr.,"Carlsbad, California / La Costa Canyon",,
85,,79.0,Zachary Franks,OL,6-6,305.0,Jr.,"Baltimore, Maryland / The Gilman School",,
86,,80.0,Donny Navarro III,WR,5-11,185.0,Sr.,"Naperville, Illinois / Neuqua Valley",,
87,,81.0,Chris Petrucci,TE,6-4,210.0,Fy.,"Park Ridge, Illinois / Maine South",,
88,,82.0,Jasper Stratton,WR,6-0,180.0,So.,"Los Angeles, California / Winward",,
89,,83.0,Blake Van Buren,TE,6-4,210.0,Fy.,"Middleton, Wisconsin / Middleton",,
90,,84.0,Hunter Welcing,TE,6-3,242.0,Jr.,"Deer Park, Illinois / Lake Zurich",,
91,,85.0,Jack Kennedy,WR,6-0,201.0,Jr.,"Cleveland Heights, Ohio / St. Ignatius",,
92,,86.0,Lawson Albright,TE,6-5,225.0,So.,"Greensboro, North Carolina / Grimsley",,
93,,87.0,Thomas Gordon,TE,6-5,240.0,Jr.,"Houston, Texas / Strake Jesuit College Prep",,
94,,88.0,Marshall Lang,TE,6-4,235.0,Jr.,"Cincinnati, Ohio / St. Xavier",,
95,,89.0,Charlie Mangieri,TE,6-4,250.0,Gr.,"Peoria, Illinois / Dunlap",,
96,,90.0,Taishan Holmes,DL,6-3,,Sr.,"Tappahannock, Virginia / Essex / Garden City College (Kan.)",,
97,,90.0,Adam Stage,K,5-11,195.0,Gr.,"Appleton, Wisc. / Kimberly",,
98,,91.0,Aidan Hubbard,DL,6-4,235.0,So.,"Cleveland, Ohio / St. Ignatius",,
99,,92.0,Jack Olsen,K,5-10,190.0,Jr.,"Wheaton, Illinois / Wheaton-Warrenville",,
100,,93.0,Brendan Flakes,DL,6-4,260.0,Fy.,"Winter Garden, Florida / West Orange High",,
101,,94.0,Jason Gold Jr.,DL,6-3,285.0,Sr.,"League City, Texas / Clear Springs",,
102,,95.0,Najee Story,DL,6-4,250.0,So.,"Solon, Ohio / Solon",,
103,,96.0,Austin Firestone,DL,6-5,260.0,Fy.,"Niceville, Florida / Niceville",,
104,,97.0,Sean McLaughlin,DL,6-6,275.0,Jr.,"Frankfort, Illinois / Lincoln-Way East",,
105,,98.0,Duke Olges,DL,6-4,260.0,Jr.,"Winnetka, Illinois / New Trier",,
106,,99.0,Adetomiwa Adebawore,DL,6-2,280.0,Sr.,"Kansas City, Missouri. / North Kansas City",,
107,,99.0,Hunter Renner,P,6-2,207.0,Jr.,"Mishawaka, Indiana / Marian",,
0,,,Pat Fitzgerald,,,,,,,Dan and Susan Jones Family Head Football Coach
1,,,Mike Bajakian,,,,,,,Offensive Coordinator (Quarterbacks)
2,,,Kurt Anderson,,,,,,,Assistant Coach (Offensive Line)
3,,,Lou Ayeni,,,,,,,Assistant Coach (Running Backs/Recruiting Coordinator)
4,,,Jeff Genyk,,,,,,,Assistant Coach (Special Teams Coordinator/Tight Ends)
5,,,Matt MacPherson,,,,,,,Associate Head Coach (Defensive Backs)
6,,,Tim McGarigle,,,,,,,Assistant Coach (Linebackers)
7,,,Ryan Smith,,,,,,,Assistant Coach (Cornerbacks)
8,,,Jacob Schmidt,,,,,,,Director of Football Operations
9,,,Darby Dunnagan,,,,,,,Director of Player Development
10,,,Jay Hooten,,,,,,,Director of Sports Performance for Football
11,,,Bryan Payton,,,,,,,Director of Recruiting - Defense
12,,,Jonny Kovach,,,,,,,Director of Player Personnel
13,,,Demetrius Fields,,,,,,,Director of Player Engagement
14,,,Todd McShane,,,,,,,Director of Recruiting - Offense
15,,,Matt Flannery,,,,,,,Assistant Director of Football Performance
16,,,Rick Perry,,,,,,,Assistant Director of Football Performance
17,,,Darren Bailey,,,,,,,Assistant Director of Football Performance
18,,,Zach Opsal,,,,,,,Quality Control (Special Teams)
19,,,Michael Conway,,,,,,,Director of Recruiting Content
20,,,Lauren McCree,,,,,,,Director of On-Campus Recruiting & High School Relations
21,,,"Jen Schumacher, Ph.D., CMPC",,,,,,,Mental Performance Coach
