,Statistic,#,Full Name,Pos.,Ht.,Wt.,Year,Hometown,High School,Previous School,Image,Name,Title
55,,72.0,Caleb Carter,OL,6-3,270.0,R-Fr.,"Easley, SC",Wren HS,,,,
56,,73.0,John Thomas,OL,6-3,300.0,Sr.,"Marietta, GA",Hillgrove HS,,,,
57,,74.0,Luke Barlow,OL,6-2,280.0,R-So.,"Savannah, Ga.",Benedictine Military School,,,,
58,,74.0,Tim Maddox,OL,6-2,290.0,R-So.,"Columbus, GA",Northside HS,,,,
59,,77.0,Mac Johnson,OL,6-3,255.0,R-So.,"Waycross, GA",Ware County HS,,,,
60,,78.0,Peyton Bumpers,OL,6-4,275.0,R-So.,"Marietta, GA",Harrison HS,,,,
61,,80.0,Kendall Harris,WR,6-1,185.0,Fr.,"Concord, NC",Cox Mill HS,,,,
62,,81.0,Scooter Risper,WR,5-10,165.0,Gr.,"Macon, GA",Westside-Macon HS,West Georgia University,,,
63,,82.0,Andrew May,TE,6-4,230.0,R-Jr.,"Evans, Ga.",Lakeside HS,,,,
64,,85.0,Sawyer Burt,TE,6-4,243.0,R-Fr.,"Fort Payne, Ala",Fort Payne HS,,,,
65,,88.0,Tyzen Wilkerson,TE,6-2,248.0,R-So.,"Decatur, GA",Grayson HS,,,,
66,,89.0,Ian Garcia,P,6-0,200.0,R-Fr.,"Windermere, FL",Foundation Academy,,,,
67,,91.0,Jordan Swain,DL,6-3,255.0,R-Jr.,"Brunswick, GA",Glynn Academy,,,,
68,,92.0,Barrett Schmidlkofer,KAT,6-2,221.0,R-Fr.,"Senoia, GA",Starr’s Mill High School,,,,
69,,94.0,Savio Frazier,DL,6-2,285.0,Jr.,"Hampton, Ga.",Dutchtown HS,,,,
70,,96.0,Arias Nash,DL,6-3,265.0,So.,"Charlotte, NC",Stuart Cramer HS,,,,
71,,98.0,Chris Hill,DL,6-2,284.0,R-Jr.,"Statesboro, GA",Statesboro HS,,,,
72,,99.0,Caden Camese,DL,6-3,290.0,So.,"Bellevue, NE",Bellevue West High School,,,,
73,,,Bryce Addison,K,5-9,165.0,R-Fr.,"Saint Augustine, FL",Pedro Menendez HS,,,,
74,,,Sam Albee,TE,6-5,225.0,Fr.,"Roswell, GA",Fellowship Christian School,,,,
75,,,Kody Arnold,P,5-10,170.0,Fr.,"Brunswick, GA",Glynn Academy HS,,,,
76,,,Amarii Atchison,OL,6-7,280.0,Fr.,"Douglasville, GA",Alexander HS,,,,
77,,,Jason Berko,OL,6-2,275.0,R-Fr.,"Watkinsville, GA",Oconee County HS,,,,
78,,,Justin Brett,OL,6-0,260.0,R-Fr.,"Sandersville, GA",Washington County HS,,,,
79,,,Nate Brooks,SAF,6-0,175.0,R-Fr.,"Kathleen, GA",Veterans HS,,,,
80,,,Jamell Coast Jr.,RB,6-0,228.0,R-Fr.,"Savannah, GA",New Hampstead HS,,,,
81,,,Christian Cole,K,5-8,160.0,R-Fr.,"Laurinburg, NC",Scotland HS,,,,
82,,,Adjatay Dabbs,WR,6-1,175.0,Fr.,"Greeneville, TN",Greenville HS,,,,
83,,,Avery Ferris,OL,6-2,270.0,Fr.,"Auburn, AL",Auburn HS,,,,
84,,,Walter Goggins,DL,6-2,260.0,Fr.,"Tuscumbia, AL",Deshler HS,,,,
85,,,Reice Griffith,K,5-10,170.0,Fr.,"Pace, FL",Pace HS,,,,
86,,,Elijah Heald,OL,6-5,300.0,R-Fr.,"Macon, GA",Windsor Academy,,,,
87,,,Brayden Manley,DL,6-3,240.0,Fr.,"Vanceboro, NC",West Craven HS,,,,
88,,,Tucker Mix,WR,5-10,170.0,R-Fr.,"Gray, GA",Jones County HS,,,,
89,,,Tripp Slaton,LB,6-1,216.0,R-Fr.,"Newnan,GA",Newnan HS,,,,
90,,,Brayden Smith,WR,5-11,170.0,Fr.,"Macon, GA",Tattnall Square Academy,,,,
91,,,Mikeal Sullivan,WR,6-2,186.0,R-Fr.,"Augusta, GA",Augusta Christian School,,,,
92,,,Donovan Watkins,SAF,6-0,170.0,Fr.,"Winnsboro, SC",Fairfield Central HS,,,,
93,,,Tucker Wilson,LB,5-11,210.0,R-Fr.,"Springfield, GA",Effingham County HS,,,,
0,,,,,,,,,,,,Drew Cronic,Head Coach
1,,,,,,,,,,,,David A. Cole,Associate Head Coach / Cornerbacks / Special Teams Coordinator
2,,,,,,,,,,,,Bob Bodine,Offensive Coordinator / Offensive Line
3,,,,,,,,,,,,Joel Taylor,Defensive Coordinator / Linebackers
4,,,,,,,,,,,,Fred Jones,Run Game Coordinator / Running Backs
5,,,,,,,,,,,,Mike Adams,Defensive Pass Game Coordinator / Safeties
6,,,,,,,,,,,,La'Donte Harris,Pass Game Coordinator / Wide Receivers
7,,,,,,,,,,,,Jimmy Long,Defensive Run Game Coordinator / Defensive Line
8,,,,,,,,,,,,Sumner Ellis,KATS / Defensive Recruiting Coordinator
9,,,,,,,,,,,,Kevin O'Brien,Tight Ends / Offensive Recruiting Coordinator
10,,,,,,,,,,,,David Salmon,Quarterbacks / Video Coordinator
11,,,,,,,,,,,,Markerious Bolden,Analyst - Defense
12,,,,,,,,,,,,Roman Buchanan,Volunteer Assistant - Defense
13,,,,,,,,,,,,Barry Brown,Analyst - Offense
14,,,,,,,,,,,,To Be Announced,Volunteer Assistant - Offense
0,,,,,,,,,,,,Bennett Houston,Director of Football Operations
1,,,,,,,,,,,,Akiliyah Sumlin,Coordinator of On Campus Recruiting / Creative Services
2,,,,,,,,,,,,Drew Tranum,Director of Football Equipment
3,,,,,,,,,,,,Ryan Juarez,Associate A.D. for Sports Medicine (Football)
4,,,,,,,,,,,,Katie Boltz,"Assistant Athletic Trainer (FB, Spirit)"
5,,,,,,,,,,,,Lydia Binder,"Assistant Athletic Trainer (FB, Golf)"
6,,,,,,,,,,,,Evan Barr,Director of Strength & Conditioning
7,,,,,,,,,,,,Jackson Morris,Associate Director of Strength & Conditioning
8,,,,,,,,,,,,Marques White,Assistant Director of Football Strength and Conditioning
9,,,,,,,,,,,,Justin Browner,Assistant Football Strength and Conditioning
10,,,,,,,,,,,,CJ Canfield,Strength and Conditioning Graduate Assistant
11,,,,,,,,,,,,Parker Hicks,Strength and Conditioning Intern
12,,,,,,,,,,,,Riley Turner,Data and Analytics
13,,,,,,,,,,,,Jillian Humphries,Student Assistant / Operations
14,,,,,,,,,,,,Aidan Higgins,Student Assistant / Operations
15,,,,,,,,,,,,Daniel Tulk,Student Assistant / Operations
16,,,,,,,,,,,,Austin Aldridge,Student Assistant / Operations
17,,,,,,,,,,,,Christian Kaufman,Student Assistant / Video
18,,,,,,,,,,,,Jalen DeDeaux,Student Assistant / Video
19,,,,,,,,,,,,Mychael Hall,Student Assistant / Video
20,,,,,,,,,,,,TJ Parks,Student Assistant / Video
21,,,,,,,,,,,,Holman Deriso,Student Assistant / Video
22,,,,,,,,,,,,Neena Maith,Student Assistant / Sports Medicine
23,,,,,,,,,,,,Olivia Rooney,Student Assistant / Sports Medicine
24,,,,,,,,,,,,Emma Padovano,Student Assistant / Sports Medicine
25,,,,,,,,,,,,Abby Suggs,Student Assistant / Creative Services
26,,,,,,,,,,,,Aubree Bethune,Student Assistant / Creative Services
