,Statistic,#,Full Name,Pos.,Ht.,Wt.,Cl.,Hometown / High School,Current School Name,Previous School,Image,Name,Title
35,,26.0,Robert Topps III,DB,6-3,200.0,Gr.,"Chicago, Ill. / Marist H.S.",Towson,University of Kansas,,,
36,,26.0,Christopher Watkins,RB,5-10,185.0,R-Fr.,"Silver Spring, Md. / Blair H.S.",Towson,Marist College,,,
37,,27.0,Dorian Davis,DB,6-0,190.0,R-So.,"Shelby, N.C. / Shelby H.S.",Towson,Southern Illinois University,,,
38,,27.0,Darren Williams,DB,5-9,160.0,R-Sr.,"Waldorf, Md. / Thomas Stone H.S.",Towson,Virginia Union University,,,
39,,28.0,Ryan Steinberg,RB,5-7,190.0,Fr.,"Germantown, Md. / Northwest H.S.",Towson,,,,
40,,29.0,Josh Cupitt,K/P,6-0,170.0,R-So.,"Reading, Pa. / Exeter Township H.S.",Towson,,,,
41,,29.0,Ibrahim Kouyate,LB,6-3,230.0,R-So.,"Germantown, Md. / Seneca Valley H.S.",Towson,Lackawanna College,,,
42,,30.0,Keegan Vaughan,K/P,5-11,160.0,R-So.,"Richmond, Va. / Thomas Jefferson H.S.",Towson,,,,
43,,31.0,Shafeek Smith,DB,5-10,175.0,R-Fr.,"Philadelphia, Pa. / Imhotep Charter H.S.",Towson,,,,
44,,32.0,MJ Cunningham,LB,6-2,240.0,R-So.,"Portland, Ore. /",Towson,Butler C.C.,,,
45,,32.0,Tommy Nelson,RB,5-7,175.0,Fr.,"Eldersburg, Md. / Liberty H.S.",Towson,,,,
46,,33.0,Stefan Hackshaw,LB,6-3,240.0,R-Jr.,"Frederick, Md. / Tuscarora H.S.",Towson,,,,
47,,34.0,Luke Hamilton,FB/TE,6-0,245.0,R-Sr.,"Cumberland, Md. / Fort Hill H.S.",Towson,,,,
48,,35.0,Devin Matthews,RB,5-9,195.0,Jr.,"Falls Church, Va. / Justice H.S.",Towson,,,,
49,,35.0,Makai Self,CB,5-9,170.0,R-Jr.,"Upper Marlboro, Md. / St. John's College H.S.",Towson,Penn State University,,,
50,,36.0,Daniel Fahmy,DB,6-0,215.0,Fr.,"Clarksville, Md. / River Hill H.S.",Towson,,,,
51,,37.0,Myles Brodie,DB,6-2,175.0,Jr.,"Hyattsville, Md. / Northwestern H.S.",Towson,Alvernia University,,,
52,,38.0,Xavier Terry,DB,5-10,190.0,R-Fr.,"Washington, D.C. / St. John's College (H.S.)",Towson,,,,
53,,39.0,RJ Chapman,DB,6-0,180.0,Fr.,"Clinton, Md. / Rock Creek Christian Academy",Towson,,,,
54,,40.0,Amir Murray,LB,5-11,225.0,R-Sr.,"Willingboro, N.J. / Willingboro H.S.",Towson,Eastern New Mexico University,,,
55,,41.0,Ethan MacNair,LB,6-0,220.0,Fr.,"Somerville, N.J. / Somerville H.S.",Towson,,,,
56,,42.0,Dion Crews-Harris,RB,6-0,240.0,R-So.,"Baltimore, Md. / Dunbar H.S.",Towson,,,,
57,,43.0,Sam Alsheimer,LB,6-2,225.0,R-Jr.,"Dayton, Md. / Glenelg H.S.",Towson,,,,
58,,44.0,Ryan Kearney,LB,6-1,230.0,R-Sr.,"Ellicott City, Md. / Howard H.S.",Towson,,,,
59,,45.0,Brockman Wallace II,TE,6-2,255.0,R-Jr.,"Marshall, Va. / St. Vincent Pallotti H.S.",Towson,,,,
60,,47.0,Jared Rogers,LB,5-9,180.0,R-Jr.,"Fort Meade, Md. / Meade H.S.",Towson,,,,
61,,51.0,Keith Bagwell,LB,6-0,220.0,Fr.,"Baltimore, Md. / Baltimore Polytechnic Institute",Towson,,,,
62,,52.0,Jamal Jones,DL,6-3,235.0,R-So.,"Upper Marlboro, Md. / Riverdale Baptist/East Coast Prep",Towson,Virginia Union University,,,
63,,53.0,Ralph Paige Jr.,OL,6-3,305.0,R-So.,"Washington, D.C. / Bishop McNamara H.S.",Towson,Merrimack College,,,
64,,54.0,Cole Cheripko,OL,6-4,300.0,Gr.,"Darnestown, Md. / Northwest H.S.",Towson,,,,
65,,55.0,Mason Woods,LB,6-0,220.0,R-Fr.,"Woodbridge, Va. / Gar-Field H.S.",Towson,,,,
66,,56.0,Connor Maloney,LB,6-2,215.0,R-Fr.,"Columbia, Md. / St. Vincent Pallotti H.S.",Towson,,,,
67,,57.0,Onaje Lewis,LB,6-0,220.0,R-So.,"Bowie, Md. / Bowie H.S.",Towson,West Liberty University,,,
68,,58.0,Bryce Lauer,DL,6-3,275.0,R-Sr.,"Murrysville, Pa. / Franklin Regional H.S.",Towson,,,,
69,,59.0,Blake White,LB,6-2,205.0,Fr.,"Cumberland, Md. / Fort Hill H.S.",Towson,,,,
70,,61.0,Mathias Adjingbaruk,OL,6-3,325.0,R-Fr.,"Silver Spring, Md. / Northwood H.S.",Towson,,,,
71,,62.0,William Sadberry,OL,6-2,260.0,Fr.,"Salisbury, Md. / Parkside H.S.",Towson,,,,
72,,63.0,Dane Roper,OL,6-3,325.0,So.,"Huntingtown, Md. / Huntingtown H.S.",Towson,,,,
73,,64.0,Joden Nelson,OL,6-4,280.0,Fr.,"York, Pa. / William Penn-York H.S.",Towson,,,,
74,,65.0,Mason Cholewa,DL,6-7,305.0,Gr.,"Pittsburgh, Pa. / Montour H.S.",Towson,University of Central Florida,,,
75,,66.0,Dan Volpe,OL,6-6,305.0,Fr.,"Colts Neck, N.J. / Colts Neck H.S.",Towson,,,,
76,,68.0,Kevin Gaston,OL,6-5,290.0,Fr.,"Vienna, Va. / Madison H.S.",Towson,,,,
77,,70.0,Evan Roberts,OL,6-2,285.0,Fr.,"North East, Md. / Myrtle Beach Collegiate",Towson,,,,
78,,72.0,Sahil Bhullar,OL,6-6,285.0,So.,"Thornhill, Ontario /",Towson,University of Waterloo,,,
79,,73.0,Alex Desire,OL,6-4,310.0,R-Sr.,"Burlington, N.J. / Burlington Township H.S.",Towson,,,,
80,,75.0,Julian Singh,OL,6-3,300.0,Gr.,"Mount Laurel, N.J. / Lenape H.S.",Towson,LIU,,,
81,,76.0,LaVel Scipio Jr.,OL,6-3,310.0,Fr.,"Laurel, Md. / St. Vincent Pallotti",Towson,,,,
82,,77.0,Josh Roberts,OL,6-7,325.0,Gr.,"Virginia Beach, Va. / Tallwood H.S.",Towson,Lafayette College,,,
83,,78.0,Roman Wahrheit,OL,6-6,335.0,Sr.,"Rhauderfehn, Germany / Gymnasium Rhauderfehn",Towson,Oldenburg Knights,,,
84,,79.0,Florian Staehler,OL,6-8,280.0,R-So.,"Köln, Germany / American International Academy (R.I.)",Towson,,,,
85,,80.0,Robert Schwob,TE,6-7,240.0,Gr.,"Annapolis, Md. / Broadneck H.S.",Towson,University of Maryland,,,
86,,81.0,Malik Jackson,TE,6-3,230.0,R-So.,"Laurel, Md. / Meade H.S.",Towson,University of Maryland,,,
87,,82.0,Brady McElhaney,WR,6-0,170.0,R-So.,"Gambrills, Md. / Avalon H.S.",Towson,,,,
88,,83.0,Jonathan Badu,WR,5-8,170.0,Jr.,"Fort Meade, Md. / Meade H.S.",Towson,,,,
89,,84.0,Muhammad Abbasi,WR,6-3,185.0,So.,"Rockville, Md. / Montgomery H.S.",Towson,,,,
90,,85.0,Dakota Jordan,WR,6-4,220.0,So.,"Brookeville, Md. / Sherwood H.S.",Towson,,,,
91,,86.0,Devin Gill,TE,6-4,240.0,R-So.,"Annandale, Va. / Annandale H.S.",Towson,Ventura College,,,
92,,87.0,Griffin Patterson,TE,6-5,230.0,R-Fr.,"Broadlands, Va. / Independence H.S.",Towson,,,,
93,,89.0,Ke'Mari Taylor,WR,5-11,180.0,Fr.,"Annapolis, Md. / Annapolis H.S.",Towson,,,,
94,,90.0,Ernie Smith,DL,6-2,265.0,R-Jr.,"Columbia, Md. / Oakland Mills H.S.",Towson,,,,
95,,91.0,Clayton Harris,K/P,6-0,170.0,R-Sr.,"Havre de Grace, Md. / Havre de Grace H.S.",Towson,University of Connecticut,,,
96,,92.0,Elijah Tarlton,DL,6-3,230.0,Fr.,"Chantilly, Va. / Westfield H.S.",Towson,,,,
97,,93.0,Jordan Sampson,DL,6-4,230.0,Fr.,"Severn, Md. / St. Vincent Pallotti H.S.",Towson,,,,
98,,94.0,Janaz Jordan,DL,6-4,325.0,Gr.,"Hampton, Va. / Bethel H.S.",Towson,University of Colorado,,,
99,,95.0,Jake Baker,DL,6-1,220.0,So.,"Thurmont, Md. / Catoctin H.S.",Towson,Clarion University,,,
100,,96.0,Anthony Delle Donne,TE,6-1,285.0,R-So.,"Baltimore, Md. / Calvert Hall H.S.",Towson,,,,
101,,97.0,Riley Williams,P,6-3,210.0,So.,"Victoria, Australia / Australian Catholic University",Towson,,,,
102,,98.0,Patrick Coyle,LS,5-11,200.0,R-Fr.,"Richland, N.J. / St. Augustine Prep",Towson,,,,
103,,99.0,Shaheem Haltiwanger,DL,6-3,270.0,Gr.,"Lexington, S.C. / White Knoll H.S.",Towson,South Carolina State University,,,
0,,,,,,,,,Towson,,,Rob Ambrose,Head Coach
1,,,,,,,,,Towson,,,Lyndon Johnson,Special Teams Coordinator/Safeties
2,,,,,,,,,Towson,,,Eric Daniels,Defensive Coordinator/Linebackers
3,,,,,,,,,Towson,,,Tyree Foreman,Pass Game Coordinator/Running Backs
4,,,,,,,,,Towson,,,Alex Stadler,Run Game Coordinator/Offensive Line
5,,,,,,,,,Towson,,,Collin Bauer,Recruiting Coordinator/Defensive Line
6,,,,,,,,,Towson,,,William Lang,Tight Ends/Fullbacks
7,,,,,,,,,Towson,,,Drew Rodriguez,Quarterbacks
8,,,,,,,,,Towson,,,Christian Runza,Linebackers
9,,,,,,,,,Towson,,,Almondo Curry,Cornerbacks
10,,,,,,,,,Towson,,,Derek Kief,Wide Receivers
11,,,,,,,,,Towson,,,Lance Yaniger,Director of Football Operations
12,,,,,,,,,Towson,,,"Justin Lima, PhD",Director of Football Performance
13,,,,,,,,,Towson,,,Demarcus Gilmore,Quality Control Coach - Offense
14,,,,,,,,,Towson,,,Jordan Mynatt,Quality Control Coach - Defense
15,,,,,,,,,Towson,,,Will Koustmer,Quality Control Coach - Defense
16,,,,,,,,,Towson,,,Joe Puleio,Quality Control Coach - Offense
17,,,,,,,,,Towson,,,Vincent Crisafi,Quality Control Coach - Offense
18,,,,,,,,,Towson,,,Shane Simpson,Quality Control Coach - Offense
19,,,,,,,,,Towson,,,Marcus Hicks,Video Coordinator
0,,,,,,,,,Towson,,,Nathan Wilder,"Senior Associate Athletic Director, Sports Medicine and Performance"
1,,,,,,,,,Towson,,,Kyle Cherry,Head Athletic Trainer
2,,,,,,,,,Towson,,,Tyler Turner,Athletic Trainer
3,,,,,,,,,Towson,,,Dave Vatz,Director of Athletic Media Relations
4,,,,,,,,,Towson,,,Mike Pivec,Head Equipment Manager
